Unnamed: 0	text	screen_name	location	LAT	LON
0	it only the crisis pregnancy center that be in the business of lie to woman abortion be healthcare	AtheistEngineer	Ohio, USA	40.4172871	-82.90712300000001
1	if this law be not block by September abortion access in Texas will come to an abrupt stop say the senior counsel for the Center for Reproductive Rights abortion Texas WomensHealth Heartbeat ReproductiveRights	SAcurrent	San Antonio, TX	29.4241219	-98.49362819999999
2	so if demand all pregnant applicant have an abortion will that also be acceptable both vaccination and abortion be medical procedure	jeffreymullen	Henderson, NV	36.0395247	-114.9817213
3	I got push so hard I feel I have no choice abortiontestimonial abortion womentellall	AbortionReviews	San Diego, CA	32.715738	-117.1610838
4	so if demand all pregnant applicant have an abortion both vaccine and abortion be medical procedure	jeffreymullen	Henderson, NV	36.0395247	-114.9817213
5	how do other country fight against the grave human right issue of abortion I most excited to hear the Global Perspectives on abortion panel at the RehumanizeConference Register at M	KristaCorbello	Los Angeles, CA	34.0522342	-118.2436849
6	the Texas abortion ban which allow anyone to sue anyone who help or intend to help a woman end a pregnancy after six week be design to harass the few remain clinic out of existence Texas abortion	CarolineMCorbin	Coral Gables, FL	25.7491968	-80.2635411
7	Democrat Candidate want Paid Medical Leave after kill a Baby in an abortion abortion	MassCentralNew1	Winter Have Fl	28.0222435	-81.7328567
8	the estimate between and million baby abort per year imagine if people take that as seriously as they have Covid if we force vaxxine mandate maybe we should force sterilization for anyone couple that have have more than one abortion slipperyslope	DonCapriccioso	Last Incarnation	38.0730828	-78.47562280000001
9	think Texas abortion law do matter here in texan seek abortion care who have the financial mean most of they white woman will travel to state like potentially create access challenge here it all connect mapoli	jessemermell	Brookline, MA	42.33176419999999	-71.1211635
10	welcome back to the fucking Middle Ages Abortion	neongrab	Wien, Österreich	48.2081743	16.3738189
12	the issue about abortion in the US be of a similar sort as opposer claim that abortion be kill life while they be the same people who be also against facemask amp vaccine kill life by forbid child to save life of adult	GLOSM4	Netherlands	52.132633	5.291265999999999
13	there be still time to sign up to become a sponsor at our annual Golf outing take place on September click here for more detail crisispregnancy womenshealth pregnancyoption unplannedpregnancy naturalfamilyplanne abortion	ABabysBreath	Pennsylvania, USA	41.2033216	-77.1945247
15	hmm what exactly kind of future be it no ClimateAction plan no competitive Canada abortion position no effective health amp safety commitment re vaccination policy not much of a future choose forwardforeveryone	SusanRadojevic	Canada	56.130366	-106.346771
16	Texas abortion mask when it come to mask in Texas woman have the right to make a choice but south of the border it be an entirely different matter	josephescalia	LI, NY	40.789142	-73.13496099999999
